epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0842,3.45837,5.17357,4.23119,0.00197,0.26087,0.01135,0.00417,3.03388,4.33227,4.15426,0.00326667,0.00326667,0.00326667
2,51.5026,3.38613,5.05956,4.14902,0.00234,0.27191,0.01166,0.00422,3.01918,4.3201,4.12166,0.00658724,0.00658724,0.00658724
3,75.0259,3.16116,4.77006,3.87958,0.00192,0.16975,0.00375,0.00104,3.32486,4.39941,5.19511,0.00989492,0.00989492,0.00989492
4,98.8232,2.97578,4.35999,3.5064,0.00104,0.0527,0.00071,0.00025,3.25578,6.93386,5.05202,0.00994199,0.00994199,0.00994199
5,123.074,2.79484,4.06612,3.28783,0.00295,0.1394,0.00357,0.00088,3.22681,4.92351,4.40998,0.00992266,0.00992266,0.00992266
6,147.07,2.67438,3.88468,3.12841,0.80635,0.00442,0.00109,0.00025,2.82994,4.64313,3.57535,0.00990332,0.00990332,0.00990332
7,170.393,2.59243,3.7653,3.00492,0.40499,0.0251,0.00499,0.00101,2.83757,4.81506,3.65472,0.00988398,0.00988398,0.00988398
8,193.998,2.56687,3.69818,2.93915,0.00135,0.09366,0.00147,0.00039,3.35419,4.96778,4.07171,0.00986465,0.00986465,0.00986465
9,217.591,2.46306,3.55095,2.8557,0.33891,0.1212,0.06013,0.01763,2.60219,3.72184,3.04676,0.00984531,0.00984531,0.00984531
10,241.117,2.39821,3.4125,2.77602,0.46523,0.06695,0.04242,0.0127,2.37646,4.04753,3.02958,0.00982598,0.00982598,0.00982598
11,264.393,2.2956,3.33413,2.67619,0.53252,0.1109,0.08282,0.02195,2.53749,3.6151,3.00049,0.00980664,0.00980664,0.00980664
12,287.682,2.24146,3.18106,2.61934,0.10427,0.11175,0.06053,0.01518,2.55699,3.66693,3.06596,0.0097873,0.0097873,0.0097873
13,311.012,2.15357,3.03725,2.53194,0.50264,0.14098,0.08299,0.02395,2.43331,3.85566,2.98269,0.00976797,0.00976797,0.00976797
14,334.446,2.09482,2.92601,2.44884,0.14274,0.21444,0.10084,0.02448,2.41147,4.18959,2.92544,0.00974863,0.00974863,0.00974863
15,358.059,2.01993,2.80463,2.37817,0.11843,0.19208,0.09585,0.0304,2.27911,3.54513,2.84281,0.0097293,0.0097293,0.0097293
16,381.591,1.98829,2.74664,2.33683,0.22233,0.15151,0.17012,0.06781,2.26949,3.06196,2.81162,0.00970996,0.00970996,0.00970996
17,405.237,1.9495,2.62056,2.26223,0.17067,0.1669,0.14048,0.04473,2.35246,3.42145,2.86518,0.00969063,0.00969063,0.00969063
18,428.515,1.89455,2.56095,2.22686,0.10062,0.2492,0.13841,0.04726,2.21002,3.36882,2.69266,0.00967129,0.00967129,0.00967129
19,451.797,1.88198,2.51319,2.20786,0.19147,0.28431,0.17933,0.07529,2.1838,3.66062,2.69522,0.00965195,0.00965195,0.00965195
20,475.208,1.8351,2.43341,2.15786,0.60532,0.24525,0.16654,0.07958,2.29439,4.24131,2.82383,0.00963262,0.00963262,0.00963262
21,498.528,1.82337,2.39943,2.12838,0.22168,0.21078,0.17843,0.09879,1.98689,2.76403,2.4993,0.00961328,0.00961328,0.00961328
22,522.288,1.78029,2.33647,2.11092,0.25632,0.21191,0.22253,0.10957,2.17138,3.18125,2.73876,0.00959395,0.00959395,0.00959395
23,545.774,1.74271,2.23497,2.0433,0.86382,0.19257,0.25882,0.13056,2.00608,2.777,2.45342,0.00957461,0.00957461,0.00957461
24,569.4,1.7374,2.23604,2.03178,0.69095,0.21265,0.24135,0.11371,2.06261,2.78304,2.53733,0.00955527,0.00955527,0.00955527
25,592.642,1.71144,2.17408,2.00503,0.42363,0.19829,0.25173,0.10251,2.09258,2.76997,2.52476,0.00953594,0.00953594,0.00953594
26,615.919,1.67661,2.11143,1.98201,0.23328,0.32957,0.27106,0.13593,1.93344,2.5551,2.42861,0.0095166,0.0095166,0.0095166
27,639.217,1.68403,2.08029,1.99884,0.48708,0.36201,0.29434,0.16225,1.9342,2.78364,2.43905,0.00949727,0.00949727,0.00949727
28,662.538,1.63436,2.0343,1.92854,0.50143,0.21731,0.27726,0.15709,1.96003,2.57493,2.37674,0.00947793,0.00947793,0.00947793
29,685.891,1.66749,2.03513,1.95633,0.41929,0.36132,0.32175,0.14713,1.93352,2.45397,2.42648,0.00945859,0.00945859,0.00945859
30,709.528,1.59809,1.95103,1.89593,0.39206,0.4075,0.33418,0.16216,1.99238,2.47203,2.38073,0.00943926,0.00943926,0.00943926
31,732.794,1.59594,1.94543,1.88758,0.37821,0.25672,0.30484,0.15762,1.91314,2.37018,2.31492,0.00941992,0.00941992,0.00941992
